onset	duration	nwb_table	visited_matched_expected	visited_arm	expected_arm	recordings	is_familiar_maze	ripple_durations	peaks	peak_normed_power	peak_frequencies	peak_amplitudes	label
0.0	8305.279966666667	epochs											
1.0	2712.0	SleepStates											Awake
96.7192	0.026400000000009527	Ripples						0.026400000000009527	96.72720000000001	6.0550386023087395	165.72696395682507	840.5271433796064	
153.2416	0.021600000000006503	Ripples						0.021600000000006503	153.24960000000002	5.868719279024161	163.54231828898887	878.116118228794	
171.4592	0.02400000000000091	Ripples						0.02400000000000091	171.4704	5.78337915675117	160.69634397312225	852.9738226547871	
173.3776	0.02240000000000464	Ripples						0.02240000000000464	173.3888	5.7837414999187455	153.5207172829106	757.6488020388593	
291.75280000000004	0.07039999999994961	Ripples						0.07039999999994961	291.8136	7.219990635444696	153.74047521261647	928.9346697472674	
291.968	0.03440000000000509	Ripples						0.03440000000000509	291.9952	6.802453997014421	171.6864757368383	853.2460034899558	
292.0736	0.05200000000002092	Ripples						0.05200000000002092	292.1048	6.075432043541065	172.16055955698477	825.3860524824169	
292.56800000000004	0.039199999999993906	Ripples						0.039199999999993906	292.58000000000004	7.061992917314366	159.2323280746024	913.0853391428515	
292.9816	0.023199999999974352	Ripples						0.023199999999974352	292.9912	8.24928054079176	168.16384221904053	968.7630122839215	
293.10560000000004	0.04159999999995989	Ripples						0.04159999999995989	293.1136	5.430534699408982	164.66645968099292	785.0203902192183	
293.4832	0.05119999999999436	Ripples						0.05119999999999436	293.49760000000003	6.251677579562161	158.3288805347682	763.4522771155224	
293.5904	0.03680000000002792	Ripples						0.03680000000002792	293.61760000000004	5.46452098315336	174.2384801868454	646.3593718317261	
293.6976	0.024799999999970623	Ripples						0.024799999999970623	293.7088	5.930899419924117	162.1735370493867	837.7876273477389	
356.5208	0.15919999999999845	Ripples						0.15919999999999845	356.5992	7.254011110669868	150.8823641108763	743.2253016789105	
422.788	0.08800000000002228	Ripples						0.08800000000002228	422.8272	6.620253423652162	150.92270657163348	763.4351163631097	
422.9864	0.05600000000004002	Ripples						0.05600000000004002	423.0248	6.502985883098205	154.86050401491957	703.7758314336824	
423.11920000000003	0.031999999999982265	Ripples						0.031999999999982265	423.12960000000004	5.99788794357657	153.45547686590723	744.9819137040358	
426.3928	0.020800000000008367	Ripples						0.020800000000008367	426.40720000000005	5.199070458547915	159.23086488358157	720.6457339249597	
436.7008	0.026400000000023738	Ripples						0.026400000000023738	436.716	5.8576715926253256	154.61463234569706	836.2868144015881	
