name	electrode_name	type	units	sampling_frequency	stream_id	gain
ch0grp2	e000	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch1grp2	e001	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch2grp2	e002	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch3grp2	e003	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch4grp2	e004	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch5grp2	e005	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch6grp2	e006	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch7grp3	e007	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch8grp3	e008	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch9grp3	e009	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch10grp3	e010	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch11grp3	e011	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch12grp3	e012	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch13grp3	e013	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch14grp3	e014	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch15grp3	e015	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch16grp2	e016	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch17grp0	e017	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch18grp2	e018	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch19grp2	e019	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch20grp3	e020	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch21grp3	e021	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch22grp3	e022	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch23grp3	e023	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch24grp3	e024	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch25grp3	e025	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch26grp2	e026	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch27grp3	e027	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch28grp2	e028	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch29grp2	e029	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch30grp2	e030	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch31grp2	e031	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
ch32grp0	e032	n/a	V	30000.0	ElectricalSeriesLFP	3.0517578125e-13
