onset	duration	nwb_table	visited_matched_expected	visited_arm	expected_arm	recordings	is_familiar_maze	ripple_durations	peaks	peak_normed_power	peak_frequencies	peak_amplitudes	label
0.0	6729.631966666667	epochs											
1.0	4238.0	SleepStates											Awake
844.3208000000001	0.02719999999999345	Ripples						0.02719999999999345	844.332	10.536100557949592	161.2885989048153	1210.9923527091064	
953.6776000000001	0.06319999999993797	Ripples						0.06319999999993797	953.7336	6.361372462473465	153.7153341973019	887.2854722014108	
957.5160000000001	0.03440000000000509	Ripples						0.03440000000000509	957.5408	9.374010874488471	168.29289591102113	1105.322823993866	
973.2088	0.02719999999999345	Ripples						0.02719999999999345	973.2224	18.997402710396297	165.95593673444554	1514.298777524776	
1014.7392000000001	0.029599999999959437	Ripples						0.029599999999959437	1014.7560000000001	8.164757508771189	162.56161569830527	1108.444576918792	
1156.8864	0.031199999999898864	Ripples						0.031199999999898864	1156.9080000000001	6.316440415825197	152.28110972784668	863.7420973465803	
1161.184	0.05600000000004002	Ripples						0.05600000000004002	1161.2088	9.51665194195909	169.29887152346683	1097.1348741731147	
1172.828	0.07360000000016953	Ripples						0.07360000000016953	1172.8864	11.386664509104936	164.51117178249558	1279.3709787258108	
1173.0312000000001	0.03919999999993706	Ripples						0.03919999999993706	1173.06	7.607770539717502	151.16579712343716	993.5675604563352	
1173.2232000000001	0.04719999999997526	Ripples						0.04719999999997526	1173.2608	7.44583090720962	163.73827324841244	1071.9312079125652	
1175.8864	0.033599999999978536	Ripples						0.033599999999978536	1175.9072	19.71647778813878	168.85591641352903	1491.578575204003	
1210.4688	0.038399999999910506	Ripples						0.038399999999910506	1210.4896	15.481457428876938	158.6278177716519	1460.7768786416455	
1442.1664	0.05040000000008149	Ripples						0.05040000000008149	1442.1824000000001	11.495480181831532	168.4117208490423	1241.0650354985353	
1442.2552	0.020800000000008367	Ripples						0.020800000000008367	1442.2696	6.487334845772697	159.4328977868066	772.2931993774979	
1444.2304000000001	0.021600000000034925	Ripples						0.021600000000034925	1444.2440000000001	6.221812720898167	160.17366954395646	877.544883304538	
1444.8008	0.036800000000084765	Ripples						0.036800000000084765	1444.8248	12.87622190617699	172.25819362428572	1239.7626401351038	
1448.6488000000002	0.02959999999984575	Ripples						0.02959999999984575	1448.6656	11.704300165022667	162.80554251626126	1343.7264316728215	
1449.8656	0.02719999999999345	Ripples						0.02719999999999345	1449.88	15.395961733432527	159.90155969606448	1369.1920493016544	
1449.9696000000001	0.031199999999898864	Ripples						0.031199999999898864	1449.9840000000002	12.504817447041608	159.42526347922868	1258.3812823476098	
1451.02	0.03040000000009968	Ripples						0.03040000000009968	1451.044	5.689447926274804	153.932598850403	749.9717312983217	
1471.2984000000001	0.020800000000008367	Ripples						0.020800000000008367	1471.3088	10.476218862592278	161.5812281430853	1039.5613779563782	
1471.9008000000001	0.02800000000002001	Ripples						0.02800000000002001	1471.9112	13.259797800917188	160.05770117128796	1238.7489298173275	
1472.0552	0.04560000000014952	Ripples						0.04560000000014952	1472.0808000000002	13.124265080379553	158.15394782858905	1403.6307537383848	
