onset	duration	nwb_table	ripple_durations	peaks	peak_normed_power	peak_frequencies	peak_amplitudes	label
1.0	2116.0	SleepStates						Awake
87.01360000000001	0.029599999999987858	Ripples	0.029599999999987858	87.03280000000001	8.767580816753847	161.6997294988266	538.9335547841904	
89.7872	0.03120000000001255	Ripples	0.03120000000001255	89.8088	5.902076078943331	161.39454697528674	438.7837078617581	
98.53200000000001	0.07759999999998968	Ripples	0.07759999999998968	98.59280000000001	14.250089264511796	161.9282410894166	649.9520913604632	
125.33200000000001	0.037599999999997635	Ripples	0.037599999999997635	125.3528	9.086690311716488	151.3105227038843	547.3593735694598	
128.0736	0.02559999999999718	Ripples	0.02559999999999718	128.088	5.224731270624332	152.34537183898976	358.46776158958863	
132.9872	0.08639999999999759	Ripples	0.08639999999999759	133.0072	21.990430931890383	158.81118590395118	844.302134216229	
134.672	0.021600000000006503	Ripples	0.021600000000006503	134.6832	7.888112304231962	165.31896604186736	519.5846520096828	
142.3064	0.02559999999999718	Ripples	0.02559999999999718	142.3176	8.92778926322162	160.3025583993977	516.1057293014082	
147.184	0.023200000000002774	Ripples	0.023200000000002774	147.1968	11.01343859448388	167.6862896424626	544.9497567160616	
148.4392	0.04959999999999809	Ripples	0.04959999999999809	148.472	15.684771351362086	153.86515444922256	658.9597238634246	
149.0872	0.03120000000001255	Ripples	0.03120000000001255	149.104	15.295115993079044	160.15231452010798	628.7949188216126	
149.2776	0.04239999999998645	Ripples	0.04239999999998645	149.31040000000002	14.81434008925685	174.40932656348687	613.3226934088304	
152.0712	0.11840000000000828	Ripples	0.11840000000000828	152.1784	37.444557892356556	158.37126950813104	987.1259982379005	
152.292	0.05680000000000973	Ripples	0.05680000000000973	152.3072	18.618023552429968	154.94978223689822	791.6241600033494	
154.0864	0.020800000000008367	Ripples	0.020800000000008367	154.1	8.825653606309501	162.64260116845065	517.2441976518469	
166.4752	0.054400000000015325	Ripples	0.054400000000015325	166.5104	32.63018236754313	160.05014413725448	1009.7026025118247	
167.5568	0.05760000000000787	Ripples	0.05760000000000787	167.5848	18.257681172580604	160.36834995710265	875.5368268583064	
169.06400000000002	0.05119999999999436	Ripples	0.05119999999999436	169.0808	26.370583093486314	169.4147940133261	981.0780892539942	
170.112	0.02400000000000091	Ripples	0.02400000000000091	170.12560000000002	11.374323004701928	161.88224828265925	583.5879224721218	
171.9152	0.02240000000000464	Ripples	0.02240000000000464	171.9264	7.962950582454804	159.27215570674196	484.6343369859254	
172.28320000000002	0.023199999999974352	Ripples	0.023199999999974352	172.2936	14.924403346847868	164.1140992127117	633.0379184899214	
173.12560000000002	0.03119999999998413	Ripples	0.03119999999998413	173.144	13.135965848240902	169.56048692577406	587.9918519547148	
185.5248	0.048799999999999955	Ripples	0.048799999999999955	185.536	11.94671302706115	156.81932468312743	447.91693311270205	
185.872	0.030399999999985994	Ripples	0.030399999999985994	185.8856	34.936486647481765	162.264568223935	987.3095385346314	
187.5872	0.05120000000002278	Ripples	0.05120000000002278	187.6112	12.295359948459243	169.51988216528935	651.8468736951465	
188.9952	0.03119999999998413	Ripples	0.03119999999998413	189.0144	9.43081371823251	170.17539430084312	560.4682212631639	
190.65120000000002	0.05920000000000414	Ripples	0.05920000000000414	190.6936	20.55447225483948	164.98562489319457	740.7294641126757	
190.87120000000002	0.029599999999987858	Ripples	0.029599999999987858	190.88400000000001	28.49555060962298	167.11726176181847	861.9515407517706	
191.0552	0.06239999999999668	Ripples	0.06239999999999668	191.0688	24.06512192018664	163.99330912882215	868.82569558416	
192.716	0.07040000000000646	Ripples	0.07040000000000646	192.7672	41.52462121565207	157.9835704240594	1195.0238428498385	
195.52	0.037599999999997635	Ripples	0.037599999999997635	195.54000000000002	9.58533529705204	147.89165202213468	388.51448506320986	
197.86960000000002	0.028799999999989723	Ripples	0.028799999999989723	197.8784	7.136598906557652	176.51189293044985	425.57765971761893	
197.96640000000002	0.04159999999998831	Ripples	0.04159999999998831	197.98000000000002	26.28280925450716	165.07959404993812	932.1516434438698	
198.0312	0.026399999999995316	Ripples	0.026399999999995316	198.044	7.67039450210009	171.49781644102566	509.21061017813344	
200.388	0.02960000000001628	Ripples	0.02960000000001628	200.40800000000002	12.998936131955604	160.82608798033476	656.0399358627574	
200.5464	0.0759999999999934	Ripples	0.0759999999999934	200.6056	30.280551105685884	165.1826712430495	952.2974566269164	
202.8616	0.03999999999999204	Ripples	0.03999999999999204	202.88160000000002	23.27467947975393	157.06935414187117	858.7630614490256	
208.9016	0.023200000000002774	Ripples	0.023200000000002774	208.912	12.273984451085584	172.1992125700021	535.9741426634669	
209.148	0.027200000000021873	Ripples	0.027200000000021873	209.16240000000002	7.659900533271751	159.06227449398548	505.4998201698263	
209.4032	0.02240000000000464	Ripples	0.02240000000000464	209.4088	5.149877997795757	156.4080290865591	396.9912871379518	
209.56640000000002	0.044799999999980855	Ripples	0.044799999999980855	209.584	21.537783835516187	160.8576308681797	874.430862912249	
213.7424	0.026399999999995316	Ripples	0.026399999999995316	213.756	18.257153474967552	163.57516586879404	705.9650462016493	
215.63600000000002	0.037599999999997635	Ripples	0.037599999999997635	215.64960000000002	20.686837442813037	160.88403097644675	810.6893892385834	
215.73520000000002	0.04159999999998831	Ripples	0.04159999999998831	215.7624	29.962026536635662	158.50823348307864	917.2772446498683	
378.4712	0.045600000000035834	Ripples	0.045600000000035834	378.492	16.02647083399769	154.5218455582771	683.8647233087119	
893.4496	0.03200000000003911	Ripples	0.03200000000003911	893.4632	8.622311120722598	169.9112789895933	550.111546512202	
899.7496	0.03040000000009968	Ripples	0.03040000000009968	899.7696000000001	5.072259310838794	177.33593909599574	275.53666714263863	
916.3568	0.037599999999997635	Ripples	0.037599999999997635	916.3736	10.715483145493124	167.00022035613583	611.0882776699397	
959.4984000000001	0.03999999999996362	Ripples	0.03999999999996362	959.528	6.9506467389902005	159.86405912921188	434.07980934833654	
1142.3616	0.03360000000020591	Ripples	0.03360000000020591	1142.384	5.81465099298181	160.33105923235982	504.68396397024486	
1430.7472	0.024000000000114596	Ripples	0.024000000000114596	1430.7608	10.172165601021545	157.98584268406213	532.2354388855719	
1516.8168	0.025599999999940337	Ripples	0.025599999999940337	1516.824	5.06898897482903	170.46245700775827	380.07459313080943	
1518.2224	0.05520000000001346	Ripples	0.05520000000001346	1518.2608	10.17130012059995	163.30674641658902	543.5799851848217	
1676.448	0.023999999999887223	Ripples	0.023999999999887223	1676.4616	10.601590288288477	158.28566893249172	572.9391060256307	
1679.0888	0.026400000000194268	Ripples	0.026400000000194268	1679.1024	7.409793448334941	164.0300769329658	507.35462887970095	
1684.5136	0.02560000000016771	Ripples	0.02560000000016771	1684.5272	5.84251364823982	169.45296101507807	461.9233173246582	
1691.0824	0.021600000000034925	Ripples	0.021600000000034925	1691.0968	7.98509888145867	157.2263432593162	406.42995148681314	
1693.6208000000001	0.023999999999887223	Ripples	0.023999999999887223	1693.6344000000001	9.800044597024682	162.46772681458862	556.4954980474753	
1711.46	0.024000000000114596	Ripples	0.024000000000114596	1711.4736	8.518865749817664	156.39793292508264	524.3956041744494	
1712.0888	0.03840000000013788	Ripples	0.03840000000013788	1712.1136000000001	6.125347759302049	162.90548218270146	443.27806026777563	
1718.496	0.022400000000061482	Ripples	0.022400000000061482	1718.508	14.332460916844562	161.88792117363064	643.3126172637111	
1748.9368000000002	0.031199999999898864	Ripples	0.031199999999898864	1748.948	13.359939599540395	157.87883423318024	585.4012393329492	
1755.736	0.03520000000003165	Ripples	0.03520000000003165	1755.7464	8.07279001104226	160.5920596468364	515.8372857005385	
1829.0272	0.036800000000084765	Ripples	0.036800000000084765	1829.0472	15.247501640306613	162.38997583668984	739.0067372382183	
1831.472	0.021600000000034925	Ripples	0.021600000000034925	1831.48	7.091006307886429	156.74725689982884	455.71237273546456	
1845.5136	0.03920000000016444	Ripples	0.03920000000016444	1845.5248000000001	8.506525751361481	166.19775467510232	526.9337437869531	
1872.5208	0.10080000000016298	Ripples	0.10080000000016298	1872.5368	17.66277644996198	159.9321831977203	777.5526470943689	
1885.2248000000002	0.020800000000008367	Ripples	0.020800000000008367	1885.2352	5.336764738956527	164.65211440076155	406.9961291131772	
1886.2912000000001	0.048800000000028376	Ripples	0.048800000000028376	1886.3232	8.445090116767107	164.19914192553836	562.8967226641531	
1887.8056000000001	0.038399999999910506	Ripples	0.038399999999910506	1887.8192000000001	15.839252912825193	167.6344434826093	700.3520736337457	
1888.5104000000001	0.030399999999872307	Ripples	0.030399999999872307	1888.5272	28.60699518194476	167.73241903500121	943.0786102569325	
1892.276	0.05040000000008149	Ripples	0.05040000000008149	1892.2928000000002	11.745385042192822	158.376565625054	662.5259318059485	
1924.1192	0.07199999999988904	Ripples	0.07199999999988904	1924.1504	18.81526270981497	159.18380876917524	762.84892955022	
1937.2496	0.056800000000066575	Ripples	0.056800000000066575	1937.2896	19.46354051021793	158.49543037571792	832.5518549124072	
1956.4384	0.02560000000016771	Ripples	0.02560000000016771	1956.4496000000001	6.722110529069987	158.0047609128985	403.864081288688	
1981.9072	0.021600000000034925	Ripples	0.021600000000034925	1981.9208	5.372323754983055	153.40303094703395	360.1416893079235	
1982.6048	0.024000000000114596	Ripples	0.024000000000114596	1982.616	8.062990736619192	161.55396748651611	481.4676741442115	
1985.9432000000002	0.026399999999966894	Ripples	0.026399999999966894	1985.9544	5.252602405701385	172.10074707785552	425.12772669324755	
1989.2744	0.04719999999997526	Ripples	0.04719999999997526	1989.288	7.093685149233677	167.99561680910975	458.36400615003265	
2009.0664000000002	0.021600000000034925	Ripples	0.021600000000034925	2009.0808000000002	6.561735339135556	155.8041613546861	451.5185156955863	
2033.0424	0.06719999999995707	Ripples	0.06719999999995707	2033.0680000000002	7.455487007900216	169.19802898487637	489.5179849874392	
2045.776	0.052000000000134605	Ripples	0.052000000000134605	2045.8184	8.754712379771489	157.48011323219922	544.3055157501656	
2052.0632	0.035200000000259024	Ripples	0.035200000000259024	2052.072	5.219710276712081	170.71359407405657	331.1931894563735	
2060.3616	0.044800000000122964	Ripples	0.044800000000122964	2060.3816	18.853191314736172	156.71410105026712	774.7588163138125	
2063.0928	0.1024000000002161	Ripples	0.1024000000002161	2063.14	20.794433859431336	162.50611693801662	790.9898878088933	
2072.7104	0.035200000000259024	Ripples	0.035200000000259024	2072.7288000000003	6.513091769826696	149.81516350931608	463.9367461760144	
2094.8952	0.04320000000006985	Ripples	0.04320000000006985	2094.9176	20.331424011059923	158.90978254010648	817.5837726996313	
2095.4776	0.04239999999981592	Ripples	0.04239999999981592	2095.5048	18.43017805439252	169.85776475837784	766.8963928971349	
2095.88	0.02320000000008804	Ripples	0.02320000000008804	2095.8936	7.000447274622428	157.34263422931969	484.025977235803	
2096.4232	0.03999999999996362	Ripples	0.03999999999996362	2096.4344	22.04479394234763	155.67986866373352	698.5944330395225	
2096.4832	0.07679999999982101	Ripples	0.07679999999982101	2096.5328	16.386460541464707	149.06338783591437	650.3664143508919	
2096.6352	0.032000000000152795	Ripples	0.032000000000152795	2096.6496	14.73795235434772	153.52485025364678	624.9679983614877	
2104.1288	0.03760000000011132	Ripples	0.03760000000011132	2104.1432	16.927418613703555	162.93991482492984	730.8387388239237	
2115.5992	0.032000000000152795	Ripples	0.032000000000152795	2115.6192	17.30369454248918	165.95202526182422	728.661390791918	
2116.3152	0.048800000000028376	Ripples	0.048800000000028376	2116.3352	42.913804710548874	172.6533818536831	1129.9246590481594	
2116.668	0.03600000000005821	Ripples	0.03600000000005821	2116.688	35.28848865323518	169.40028289980486	1109.1448358952969	
2117.5648	0.04719999999997526	Ripples	0.04719999999997526	2117.5840000000003	35.74654192929528	158.84904945937043	1080.0206799871057	
2118.0	213.0	SleepStates						Non-REM
2118.8888	0.021600000000034925	Ripples	0.021600000000034925	2118.9024	10.652126969697806	160.3033131171413	493.61586480634037	
2122.8312	0.05279999999993379	Ripples	0.05279999999993379	2122.8712	14.950807361780942	164.48701191508377	688.8630867172604	
2123.4976	0.027999999999792635	Ripples	0.027999999999792635	2123.512	7.595228108526021	154.79516298108683	496.4717398511006	
2124.9480000000003	0.024799999999686406	Ripples	0.024799999999686406	2124.9584	19.404175110211348	161.499768307782	711.4924803227563	
2125.1968	0.04399999999986903	Ripples	0.04399999999986903	2125.224	10.191770100253194	150.8622301048259	524.084481272224	
2125.976	0.03600000000005821	Ripples	0.03600000000005821	2125.9912	11.623699770532436	149.3318663429801	450.0862709743234	
2126.3984	0.03600000000005821	Ripples	0.03600000000005821	2126.4096	5.163221684594375	158.78611533532083	321.3972156947333	
2127.2792	0.07120000000031723	Ripples	0.07120000000031723	2127.3144	23.360504880483813	153.13981075332046	853.066528032445	
2130.324	0.05999999999994543	Ripples	0.05999999999994543	2130.3432000000003	46.85052164457686	166.39074510818327	1229.2446566582853	
2130.5624000000003	0.03359999999975116	Ripples	0.03359999999975116	2130.5824000000002	26.52377000613318	160.5220241066858	909.1163647428649	
2132.5280000000002	0.020799999999780994	Ripples	0.020799999999780994	2132.5416	10.894589893241534	161.67437914727142	526.1263987849882	
2134.3136	0.021600000000034925	Ripples	0.021600000000034925	2134.3248000000003	6.35331757052098	158.87361303054118	429.63023450537696	
2136.4192000000003	0.03519999999980428	Ripples	0.03519999999980428	2136.4464000000003	7.056429126078721	170.45028605442056	438.4373822954058	
2136.5480000000002	0.0567999999998392	Ripples	0.0567999999998392	2136.576	28.449232441708634	162.82770290319831	1069.7481184353949	
2138.8816	0.038399999999910506	Ripples	0.038399999999910506	2138.8928	10.946611127307886	163.94807158594247	581.6388527195296	
2139.632	0.04399999999986903	Ripples	0.04399999999986903	2139.6656000000003	12.18621503811278	165.4197774798895	580.2619920747754	
2142.8832	0.03760000000011132	Ripples	0.03760000000011132	2142.9072	33.01103374604484	159.75618525424255	988.8464328597606	
2143.0184	0.045600000000376895	Ripples	0.045600000000376895	2143.0480000000002	29.96459023833475	173.77520695868077	972.6763778682943	
2143.2496	0.06640000000015789	Ripples	0.06640000000015789	2143.2960000000003	23.208626519613365	152.9202594000188	855.2117660256476	
2148.1008	0.04320000000006985	Ripples	0.04320000000006985	2148.1256000000003	31.439434872996216	172.44691106646084	945.591305485654	
2151.7248	0.02719999999999345	Ripples	0.02719999999999345	2151.7416000000003	18.676878951628808	165.0560076755894	738.2986971587105	
2151.9152	0.025600000000395084	Ripples	0.025600000000395084	2151.9248000000002	21.94338549639411	160.61768575656694	745.0177931585242	
2156.5672	0.04080000000021755	Ripples	0.04080000000021755	2156.5864	17.880351604506572	168.09714192332044	728.4139708825029	
2156.7136	0.08320000000003347	Ripples	0.08320000000003347	2156.768	21.084679297571313	167.25039275597103	839.4879704683269	
2156.9184	0.042400000000270666	Ripples	0.042400000000270666	2156.9288	8.609712100778612	161.50118450173102	538.1637834176431	
2157.4152	0.03840000000036525	Ripples	0.03840000000036525	2157.4368	8.924588787394164	157.4169039430332	510.8841041823006	
2157.5192	0.03679999999985739	Ripples	0.03679999999985739	2157.5312	8.882501361224554	154.79554322089228	466.27986503579	
2157.664	0.03679999999985739	Ripples	0.03679999999985739	2157.6864	10.138471593298517	152.8779417650887	473.1706701849284	
2158.1752	0.04719999999997526	Ripples	0.04719999999997526	2158.212	13.6109959565437	151.7032257722505	526.1050173856463	
2160.8176000000003	0.04639999999972133	Ripples	0.04639999999972133	2160.8472	20.91809797101254	157.23213664075067	799.1125932014015	
2161.7496	0.05600000000004002	Ripples	0.05600000000004002	2161.7648	15.503570980751483	164.29220473547286	676.885508337658	
2162.3696	0.08800000000019281	Ripples	0.08800000000019281	2162.444	19.15865301425202	159.63723377124984	800.5916169557898	
